COUNTYNS,GEOID,ALAND,AWATER,NAME,State,UniqueID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,PERC_COLD,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,population,populati_1,populati_2,raceandhis,wealth_pci,ownerrente,ownerren_1,ownerren_2,ownerren_3,households,househol_1,househol_2,househol_3,populati_3,populati_4,historical,housingcos,housingc_1,housingc_2,housingc_3,homevalue_,Point_Coun,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID,PM25Weight
424260,17123,1001866831,30364348,Marshall County,Illinois,657,-4.408182,1.04242E-05,-3,4,Persistent Hot Spot,100,0,234.5378746,8.762851959,17.70663033,12.34409866,2.514878724,11.94641236,-0.4,-0.38,-0.76,677,30402,874,17.34,4165,82.66,576,11.77,4317,88.23,12206,11751,12629,0,493,124979,4893,150048,20,17.70663033,13.59791098,16.36276113,15.37438692,14.95640328,15.14913716,12.01008175,13.27266121,12.62652135,11.46766576,10.85313348,10.28792007,10.68083561,10.48864665,8.762851959,9.665667562,10.30072661,11.94641236,9.027520457,1815779162,206594.5517,{7506D7F0-88F7-4B5D-9AC9-9ECD6144F0EC},12.36433013
424261,17125,1396795583,62748510,Mason County,Illinois,658,-4.408182,1.04242E-05,-3,4,Persistent Hot Spot,100,0,231.2360466,8.042377319,17.91136952,12.17031824,2.731822531,11.55012919,-0.89,-0.91,-1.13,496,26281,1471,26.04,4178,73.96,849,14.09,5178,85.91,13475,12733,14663,0,441,102000,6027,107246,29,17.91136952,14.20613695,16.6781654,15.70400517,14.96692507,15.051615,11.69379845,12.76705425,11.75226098,11.08856588,10.34844962,9.815310064,11.12932817,10.14102066,8.042377319,9.755361774,9.653230002,11.55012919,8.980943164,2507609495,326864.3133,{FBE5D8EE-2D15-4F39-AEB2-0AA7ECB3CC87},12.3336795
1784730,17127,614391204,11903726,Massac County,Illinois,659,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100,0,231.3645373,8.626012473,19.61853583,12.17708091,3.0925157,11.36090343,0.18,-0.48,-0.83,1846,25177,2032,33.53,4029,66.47,1137,18.92,4874,81.08,14753,14148,15431,0,452,101735,6011,109779,14,19.61853583,14.41604362,16.96931465,14.13769471,14.7995327,15.73862928,12.67725856,14.38193148,11.36090343,10.90576325,9.360530443,8.669422799,9.767238691,10.6970359,8.740873636,9.551482007,9.423556974,11.52277691,8.626012473,989422852.3,145435.4656,{D54FA6DE-F9ED-4D48-AF5E-4B811D93163B},12.25005881
424266,17129,814394259,2640418,Menard County,Illinois,660,-4.478153143,7.52916E-06,-3,4,Persistent Hot Spot,100,0,240.0281658,8.346508875,18.33053252,12.63306136,2.855578419,11.95976335,0.17,-0.09,-0.39,607,34350,1437,27.84,3725,72.16,431,8.29,4767,91.71,12602,12359,12693,0,526,158626,5198,195550,17,18.33053252,15.12603549,17.41621305,16.69798819,15.73467456,14.83384615,12.39680474,13.42177513,12.32437872,11.44295857,10.47881657,10.21029586,11.42994084,10.25763314,8.346508875,10.29822486,10.23242605,11.95976335,9.089349118,1395054043,197119.4482,{1936E25F-A559-4EE6-9581-42421BC96501},12.59762211
1784750,17131,1453497670,19409929,Mercer County,Illinois,661,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,100,0,228.4184128,8.81980955,15.68425397,12.02202173,2.076045351,12.18761903,-0.31,-0.42,-0.7,813,29309,1463,22.49,5042,77.51,746,11.26,5878,88.74,15806,15258,16442,0,478,129657,6624,146113,32,15.68425397,12.50311111,14.38228571,14.69250793,15.01301587,14.97301588,12.4680635,12.98222223,11.10806351,12.18761903,10.91568255,10.47473014,10.34133334,10.19358732,8.81980955,10.37003178,9.802476209,12.33295235,9.173650793,2604493164,215887.2198,{FF3B9A29-7E9A-400C-A93B-F35F4841E2E8},12.11782221
1784865,17133,997908512,33784324,Monroe County,Illinois,662,-3.778441714,0.000157813,-3,4,Persistent Hot Spot,100,0,224.7122385,7.990934879,18.05661627,11.82695992,2.686137208,11.34778093,1.78,0.72,0.7,1319,39125,2391,17.56,11225,82.44,839,6.29,12510,93.71,35223,36478,33015,0,679,228014,13349,249577,19,18.05661627,13.05085066,15.96493383,14.96559547,14.48185256,13.81729677,11.56228732,13.84073725,11.8310964,10.79536861,9.565816805,9.026062319,9.976487275,10.25901795,7.990934879,9.593862124,10.29178472,11.34778093,8.293856337,1676821742,196624.885,{5F63C91B-F9AB-45EB-8339-A57150CB11AA},12.02709044
1784866,17135,1822450014,15512963,Montgomery County,Illinois,663,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,248.7129659,8.774330705,20.21338582,13.0901561,3.174976595,12.15301839,-0.18,-0.39,-0.67,2097,25043,2396,21.19,8911,78.81,1598,14.09,9741,85.91,29030,28070,30104,0,431,114997,11339,126588,39,20.21338582,16.22456693,17.51706036,16.99947507,16.03711287,15.49800527,13.05317585,15.20446194,13.08440945,11.45223096,10.30913387,10.04314957,11.58330708,10.61112863,8.774330705,10.21999999,10.36713912,12.15301839,9.367874019,3067408546,275999.7888,{0EF2D7B0-B9B3-4D93-A96F-261834D5191B},13.06450163
424270,17137,1473180230,9059958,Morgan County,Illinois,664,-4.478153143,7.52916E-06,-3,4,Persistent Hot Spot,100,0,235.9934406,8.026786885,18.06505792,12.4207074,2.917585698,11.78132647,-0.3,-0.38,-0.46,4010,28183,4287,31.11,9494,68.89,1970,14.21,11894,85.79,34302,33522,35516,712,529,0,13864,143822,26,18.06505792,15.07007723,16.8623552,17.12220076,14.97232948,14.97522523,12.30920207,13.48552124,12.22168598,11.42696269,10.19845458,9.740759778,11.34140373,9.981390873,8.026786885,9.686155831,9.950354158,11.78132647,8.776190483,2508148125,246856.4496,{3D99B391-05D9-4105-BAE8-2E80EF636651},12.79149206
1784885,17139,870123798,22102741,Moultrie County,Illinois,665,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,100,0,251.7505365,9.100429169,21.11469958,13.25002824,3.171833249,12.25375535,0.38,0.06,-0.23,559,27072,1547,26.45,4301,73.55,524,8.87,5386,91.13,14930,14758,14850,816,522,131365,5910,143815,17,21.11469958,17.20708153,16.80826181,15.78723173,16.19034339,15.01201716,13.1919528,15.85933476,13.76469958,12.13433476,10.48283262,10.21952791,11.38937769,10.91276824,9.100429169,10.20815453,10.70697427,12.25375535,9.406759656,1506553928,174907.1502,{55485A08-8EDE-4B5A-BDF6-96EFA3C606DD},13.45263821
1784894,17141,1964742119,11425028,Ogle County,Illinois,666,-3.708470571,0.000208515,-3,3,Intensifying Hot Spot,100,0,229.1053389,9.221402053,16.10246054,12.05817573,1.905499305,12.15747447,0.47,-0.22,-0.59,7357,31643,5021,24.28,15662,75.72,1987,9.51,18914,90.49,52420,50896,53521,0,574,0,20901,179481,39,16.10246054,12.62219128,14.1363974,14.37200558,13.93732592,14.66346332,12.15747447,13.08941503,12.61346333,11.27386257,11.36736304,10.74354685,9.587558044,10.17381614,9.221402053,10.0029248,10.39466111,12.40584959,10.24015786,3585640605,267495.1619,{1D62BE82-ACAE-49D3-A22E-EB26ACB02CF4},12.2566815
