LOCATION,UNIQUEID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,PERC_COLD,TREND_Z_1,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID
95658,95659,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.349855714,230.190740656000003,8.170370384500000,17.994444458600000,12.115302139800001,2.667704389810000,11.450000056500000,17.994444458600000,13.916666666699999,16.631481364900001,14.714814857200000,14.892592606699999,14.881481435600000,11.524074077600000,13.111111111100000,12.407407442700000,11.277777724800000,10.414814737100000,9.866666634880000,10.637037047600000,9.627777753049999,8.170370384500000,9.712962962960001,10.100000028300000,11.450000056500000,8.859259305180000,87090990.785199999809265,35957.170274199997948,{c6f2003c-c9b7-44ca-96c7-2dafb721bad5}
95657,95658,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.279884571,232.357407552000012,8.316666673729999,17.772222201000002,12.229337239600000,2.622249487310000,11.418518578600001,17.772222201000002,13.987037058200000,16.677777820199999,15.142592606699999,15.005555488400001,15.120370335000000,11.649999989399999,13.025925936500000,12.375925929499999,11.357407428600000,10.561111008699999,9.983333393380001,10.761111082899999,9.959259298110000,8.316666673729999,9.918518525580000,10.409259354600000,11.418518578600001,8.914814843069999,87179979.605499997735023,35980.233327399997506,{157733c6-77a6-4919-8e55-595e35a3bf5f}
95656,95657,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.349855714,233.710714332000009,8.457142872470000,17.655357020200000,12.300563912199999,2.643923394130000,11.489285741500000,17.655357020200000,14.242857081500000,16.916071431999999,15.196428639500001,15.114285724500000,15.412499989800001,11.798214231199999,13.019642932100000,12.282142877600000,11.489285741500000,10.512499979599999,10.025000078300000,10.762499928500000,10.151785663200000,8.457142872470000,9.960714323179999,10.355357221200000,11.457142932100000,8.901785663200000,87090991.796900004148483,35961.439609799999744,{06ed0440-9c98-4787-b537-25a18a013d86}
95655,95656,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.629740286,232.001886925999997,8.424528391859999,17.633962055400001,12.210625627700001,2.684574027070000,11.415094357599999,17.633962055400001,14.133962289299999,16.901886742100000,15.199999917200000,14.915094375600001,15.454717078300000,12.041509430400000,12.871698073599999,12.243396219199999,11.415094357599999,10.458490569600000,9.884905725159999,10.481132129500001,10.101886785300000,8.424528391859999,9.662264158139999,10.011320797900000,11.367924564300001,8.798113265130000,87179979.597699999809265,35984.517009000002872,{1b9c03d7-4366-42eb-87d0-a811c0e15c1c}
95654,95655,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.629740286,237.092592663000005,8.664814807750000,18.253703682499999,12.478557508600000,2.747088445300000,11.674074049300000,18.253703682499999,14.627777805999999,17.294444366699999,15.470370363300001,15.051851873000000,15.751851929600001,12.211111104000000,12.994444511599999,12.353703640100001,11.555555626200000,10.814814744200000,10.088888874800000,10.740740758399999,10.479629657900000,8.664814807750000,9.874073999900000,10.157407460400000,11.674074049300000,9.033333407510000,87090990.531200006604195,35965.715989299998910,{f40d9bf4-3019-41d2-b454-f51bf13cdc68}
95653,95654,-4.445889267,8.7529E-06,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.419826857,239.841510061999998,8.888679234490001,17.899999978400000,12.623237371700000,2.654733117820000,11.796226447500000,17.899999978400000,14.826415133899999,17.437735935399999,15.533962285699999,15.128301926400001,15.930188718800000,12.356603838400000,13.050943410600000,12.407547285000000,11.796226447500000,11.109434019800000,10.403773649700000,11.109434019800000,10.575471707100000,8.888679234490001,10.239622628899999,10.318867935300000,11.630188690000001,9.198113216539999,87179980.613299995660782,35988.808404299998074,{97169125-f4b4-4ea8-9e9e-d71fec8f5051}
95652,95653,-4.550910273,5.34143E-06,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.489798,258.576364049000006,9.732727293530001,19.210909097799998,13.609282318400000,2.783948648020000,12.745454528100000,19.210909097799998,15.992727297000000,18.423636419099999,16.903636360200000,16.420000041600002,16.965454587100002,13.209090926400000,13.947272838200000,13.209090891800001,12.745454528100000,11.961818296300001,11.300000000000001,12.041818167900001,11.545454562800000,9.732727293530001,11.209090926400000,11.172727255400000,12.634545464900000,9.950909094380000,87090989.769500002264977,35969.999893300002441,{bc86847e-4556-4b48-8d6c-5b1c18b636b0}
95651,95652,-4.408182,1.04242E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.279884571,236.181132533000010,8.596226458280000,17.450943604999999,12.430585922800001,2.635035390790000,11.905660413300000,17.450943604999999,14.120754763800001,16.869811292000001,15.883018871499999,15.373584945199999,15.716981168100000,12.035849031400000,12.845282986500001,12.190566062900000,11.728301893999999,10.749056600199999,10.120754727800000,10.875471690900000,10.579245279400000,8.596226458280000,10.143396251600000,9.988679256079999,11.905660413300000,9.007547234590000,87179980.097699999809265,35993.107031899999129,{208fd009-0caa-454e-b465-73b2a3012858}
95650,95651,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.209913429,239.821818420999989,8.683636353230000,17.712727182599998,12.622200969500000,2.639834206990000,12.078181804300000,17.712727182599998,14.130909104800001,17.070908945300001,16.078181908299999,15.638181911800000,15.841818254600000,12.078181804300000,13.101818171400000,12.267272758500001,11.916363646800001,11.072727324700001,10.216363646800000,11.116363681399999,10.867272775800000,8.683636353230000,10.334545482299999,10.129090933400001,12.300000034700000,9.265454500370000,87090991.285199999809265,35974.291694899999129,{8f2c7b33-73fd-4f8e-b454-c09badcc9d42}
95649,95650,-4.618095428,3.87278E-06,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.209913429,239.988679076000011,8.837735841860001,17.641509398000000,12.630983109300001,2.542912708690000,12.098113257900000,17.641509398000000,13.677358501400001,16.592452805000001,16.141509343999999,15.660377304500001,15.847169804100000,12.137735852700001,13.316981189700000,12.271698195999999,12.098113257900000,11.243396165200000,10.488679220100000,11.216981204100000,10.915094267600001,8.837735841860001,10.320754681000000,10.218867931700000,11.983018839100000,9.379245272220000,87179978.847699999809265,35997.412944700001390,{a6f11bb1-8a93-44f6-821c-c4cb33b9ca98}
